                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.78723,                0.87121,                      1,                0.71816,             0.00023625,             0.00023625,             0.00023625
                      2,                0.38288,                   0.95,                      1,                0.63696,              0.0004586,              0.0004586,              0.0004586
                      3,                 0.2878,                0.95909,                      1,                0.61301,             0.00066524,             0.00066524,             0.00066524
                      4,                0.25604,                0.95606,                      1,                0.61159,             0.00064331,             0.00064331,             0.00064331
                      5,                0.20788,                0.96667,                      1,                0.59558,             0.00064331,             0.00064331,             0.00064331
                      6,                0.17527,                0.96212,                      1,                0.59375,             0.00061975,             0.00061975,             0.00061975
                      7,                0.16897,                 0.9803,                      1,                0.58237,             0.00059619,             0.00059619,             0.00059619
                      8,                0.15269,                0.98788,                      1,                0.57028,             0.00057263,             0.00057263,             0.00057263
                      9,                0.12406,                0.98182,                      1,                0.57787,             0.00054907,             0.00054907,             0.00054907
                     10,                0.13451,                0.98485,                      1,                0.56743,              0.0005255,              0.0005255,              0.0005255
                     11,                0.12988,                0.98485,                      1,                0.57171,             0.00050194,             0.00050194,             0.00050194
                     12,                 0.1077,                0.99091,                      1,                0.56491,             0.00047838,             0.00047838,             0.00047838
                     13,                0.09764,                0.98939,                      1,                 0.5641,             0.00045482,             0.00045482,             0.00045482
                     14,                0.08013,                0.99242,                      1,                0.56249,             0.00043126,             0.00043126,             0.00043126
                     15,                0.08844,                0.98939,                      1,                 0.5629,             0.00040769,             0.00040769,             0.00040769
                     16,                 0.1069,                0.99091,                      1,                0.56677,             0.00038413,             0.00038413,             0.00038413
                     17,                 0.0693,                0.98939,                      1,                0.56453,             0.00036057,             0.00036057,             0.00036057
                     18,                 0.0778,                0.99242,                      1,                0.56021,             0.00033701,             0.00033701,             0.00033701
                     19,                0.06735,                0.98788,                      1,                0.56339,             0.00031345,             0.00031345,             0.00031345
                     20,                0.05211,                0.98636,                      1,                0.56339,             0.00028988,             0.00028988,             0.00028988
                     21,                0.06045,                0.99697,                      1,                0.55825,             0.00026632,             0.00026632,             0.00026632
                     22,                0.06711,                0.99242,                      1,                0.56064,             0.00024276,             0.00024276,             0.00024276
                     23,                 0.0593,                0.99394,                      1,                0.55909,              0.0002192,              0.0002192,              0.0002192
                     24,                0.04457,                0.99091,                      1,                 0.5587,             0.00019564,             0.00019564,             0.00019564
                     25,                0.03862,                0.99242,                      1,                0.56169,             0.00017207,             0.00017207,             0.00017207
                     26,                0.04356,                0.99242,                      1,                0.55985,             0.00014851,             0.00014851,             0.00014851
                     27,                0.05558,                0.99091,                      1,                0.55963,             0.00012495,             0.00012495,             0.00012495
                     28,                0.04139,                0.99242,                      1,                 0.5589,             0.00010139,             0.00010139,             0.00010139
                     29,                 0.0467,                0.99394,                      1,                0.55977,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     30,                0.03769,                0.99242,                      1,                0.55955,             5.4264e-05,             5.4264e-05,             5.4264e-05
